,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,StateName,CountyName,rent0,rent1,rent2,rent3,rent4,Rent_Mean
0,24389,1542,867,733,790,545,774,605,569,621,1196,1790,2597,2230,1639,2529,5362,11201,2013,New York,Kings County,1550,1620,1920,2500,2940,2106.0
1,26933,2545,1337,1595,1615,1372,1269,1418,1538,1230,1840,2673,3528,2226,1225,975,547,11203,2013,New York,Kings County,1010,1050,1250,1630,1920,1372.0
2,25221,1944,1825,2008,1496,1542,1216,1041,1440,1000,1831,2518,2674,1669,1087,1181,749,11204,2013,New York,Kings County,1070,1120,1330,1730,2040,1458.0
3,14656,2121,1104,956,856,774,582,467,501,302,817,1107,1446,957,879,769,1018,11205,2013,New York,Kings County,1270,1320,1570,2040,2410,1722.0
4,28314,5187,3142,2457,2200,1533,1805,1267,1249,1315,1666,1826,1799,1252,861,399,356,11206,2013,New York,Kings County,900,940,1120,1460,1720,1228.0
5,30879,6213,2447,1944,2031,1718,1551,1565,1555,1122,2228,2576,2721,1729,670,551,258,11207,2013,New York,Kings County,1020,1060,1260,1640,1930,1382.0
6,28779,5947,1771,2331,1370,1246,1697,1583,1665,1131,2155,2615,2251,1346,751,564,356,11208,2013,New York,Kings County,1100,1150,1360,1770,2080,1492.0
7,30877,2232,1477,1633,1589,1483,1149,1207,1281,1271,2545,2585,3851,2607,1608,2375,1984,11209,2013,New York,Kings County,1150,1200,1420,1850,2180,1560.0
8,21520,1583,1053,814,1090,854,1252,1008,1091,1025,1840,2097,2809,1657,1180,1217,950,11210,2013,New York,Kings County,990,1040,1230,1600,1890,1350.0
9,35527,4345,3646,2475,1481,1775,1493,988,1216,1104,2094,3061,3498,2630,1577,1962,2182,11211,2013,New York,Kings County,1240,1290,1530,1990,2350,1680.0
10,30167,6423,3284,2204,1698,1998,1828,1632,1391,1083,2138,2079,2172,1124,439,458,216,11212,2013,New York,Kings County,970,1010,1200,1560,1840,1316.0
11,23512,3880,2328,1613,1362,1380,1237,1413,1153,778,1798,1997,2132,929,713,565,234,11213,2013,New York,Kings County,970,1010,1200,1560,1840,1316.0
12,30415,2459,2371,1831,1860,2059,1732,1707,1741,1031,2443,3207,2903,1934,1437,1027,673,11214,2013,New York,Kings County,1000,1050,1240,1610,1900,1360.0
13,28822,1321,861,543,653,485,659,521,947,903,1964,2597,3647,2913,2501,3461,4846,11215,2013,New York,Kings County,1560,1630,1930,2510,2960,2118.0
14,22832,2876,1649,1440,1103,1147,1210,924,1348,835,1920,2290,2225,1561,771,871,662,11216,2013,New York,Kings County,1020,1060,1260,1640,1930,1382.0
15,16726,1332,707,633,598,617,477,488,394,397,945,1147,1846,1435,1351,1686,2673,11217,2013,New York,Kings County,1570,1640,1940,2520,2970,2128.0
16,24869,1998,1736,1593,1411,1162,1251,840,1055,924,1746,2433,3004,2002,1196,1335,1183,11218,2013,New York,Kings County,1130,1180,1400,1820,2150,1536.0
17,26609,2542,2636,2290,2267,1835,1950,1679,1312,937,1655,2443,1896,1204,769,665,529,11219,2013,New York,Kings County,1070,1110,1320,1720,2020,1448.0
18,30042,3038,2499,2417,2436,2134,1676,1393,1870,1123,1994,2601,2622,1988,777,849,625,11220,2013,New York,Kings County,1070,1120,1330,1730,2040,1458.0
