,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,StateName,CountyName,rent0,rent1,rent2,rent3,rent4,Rent_Mean
19,27803,4142,1988,2016,1829,1853,1039,1265,1150,1468,2064,2568,2586,1666,995,762,412,11221,2013,New York,Kings County,1040,1090,1290,1680,1980,1416.0
20,16395,1367,793,772,558,630,832,444,550,501,1224,1669,2543,1731,985,1066,730,11222,2013,New York,Kings County,1200,1260,1490,1940,2280,1634.0
21,27050,2858,1801,1777,1768,1840,1573,1474,1527,1052,2018,2414,2599,1727,933,865,824,11223,2013,New York,Kings County,1000,1050,1240,1610,1900,1360.0
22,18134,3548,2185,1374,1442,834,608,747,1009,472,1426,1188,1057,889,650,454,251,11224,2013,New York,Kings County,800,840,990,1290,1520,1088.0
23,22599,2306,1696,1377,1345,1310,1231,1213,1450,944,1764,2403,2314,1183,858,596,609,11225,2013,New York,Kings County,960,1000,1190,1550,1820,1304.0
24,35551,4214,2628,2259,1877,1913,2706,1881,1950,1337,3025,3760,3410,1964,1042,1023,562,11226,2013,New York,Kings County,1010,1050,1250,1630,1920,1372.0
25,15156,644,641,932,695,648,696,598,663,564,1313,1434,1756,1427,1078,1122,945,11228,2013,New York,Kings County,1130,1180,1400,1820,2150,1536.0
26,30892,3085,2192,1523,2015,1218,1294,1268,1127,1147,2462,2724,3441,2776,1963,1505,1152,11229,2013,New York,Kings County,1020,1060,1260,1640,1930,1382.0
27,29819,3881,2157,2080,1724,1513,1594,1359,1296,893,1910,2830,3002,2084,1091,1281,1124,11230,2013,New York,Kings County,1080,1130,1340,1740,2050,1468.0
28,14993,1502,706,436,603,483,469,342,320,423,810,1266,1517,1488,1141,1403,2084,11231,2013,New York,Kings County,1600,1670,1980,2580,3030,2172.0
29,8824,771,465,594,575,548,665,484,428,358,773,780,1077,508,394,213,191,11232,2013,New York,Kings County,1150,1200,1420,1850,2180,1560.0
30,26130,4872,2408,1889,1481,1229,1303,1208,1173,1310,1654,2001,2250,1302,822,736,492,11233,2013,New York,Kings County,1010,1050,1250,1630,1920,1372.0
31,31989,1729,951,1237,1487,1095,1547,1228,1427,1014,2074,3373,4190,3865,2355,2734,1683,11234,2013,New York,Kings County,1190,1240,1470,1910,2250,1612.0
32,31958,5285,2366,1644,1804,1728,1634,1147,1029,861,1732,2623,3285,2593,1519,1381,1327,11235,2013,New York,Kings County,1040,1090,1290,1680,1980,1416.0
33,31542,2494,1151,1164,1313,1326,1320,1343,1405,1229,2722,3407,4890,3052,1973,1951,802,11236,2013,New York,Kings County,1160,1210,1440,1870,2210,1578.0
34,23003,1801,918,1154,1077,758,927,842,818,766,1487,2030,3013,2330,1602,1763,1717,11238,2013,New York,Kings County,1230,1280,1520,1980,2330,1668.0
35,6377,1418,715,550,455,234,314,204,591,368,382,616,280,105,52,42,51,11239,2013,New York,Kings County,1020,1060,1260,1640,1930,1382.0
