,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,StateName,CountyName,rent0,rent1,rent2,rent3,rent4,Rent_Mean
0,24889,1419,901,650,899,571,700,686,671,551,1215,1680,2599,2354,1724,2620,5649,11201,2014,New York,Kings County,1540,1610,1910,2480,2930,2094.0
1,27164,2998,1514,1423,1529,1459,1335,1588,1414,1152,1963,2564,3418,1997,1213,1003,594,11203,2014,New York,Kings County,1000,1050,1240,1610,1900,1360.0
2,24873,1971,1744,2081,1584,1519,1170,898,1344,968,2006,2420,2568,1637,1069,1112,782,11204,2014,New York,Kings County,1070,1110,1320,1720,2020,1448.0
3,15090,1886,1157,935,841,916,610,550,527,394,783,1156,1568,1033,918,839,977,11205,2014,New York,Kings County,1260,1320,1560,2030,2390,1712.0
4,28980,5046,3051,2566,1990,1604,1703,1221,1274,1269,1564,2084,2049,1408,853,865,433,11206,2014,New York,Kings County,900,940,1110,1440,1700,1218.0
5,31648,6189,2706,1804,2088,1830,1496,1696,1640,1104,2328,2609,2751,1814,710,613,270,11207,2014,New York,Kings County,1010,1050,1250,1630,1920,1372.0
6,29020,5979,1828,2228,1466,1536,1623,1498,1574,1180,1998,2489,2510,1320,887,540,364,11208,2014,New York,Kings County,1090,1140,1350,1760,2070,1482.0
7,30916,2373,1461,1763,1384,1351,1133,968,1313,1166,2561,2751,3738,2579,1746,2315,2314,11209,2014,New York,Kings County,1140,1190,1410,1830,2160,1546.0
8,21906,1596,936,906,933,973,1205,1014,1180,953,1916,2317,2880,1732,1112,1256,997,11210,2014,New York,Kings County,990,1030,1220,1590,1870,1340.0
9,36422,3756,3525,2298,1602,1709,1677,1148,1215,1054,2101,3089,3720,2788,1840,2248,2652,11211,2014,New York,Kings County,1220,1270,1510,1960,2310,1654.0
10,30685,6199,3387,2499,1853,2215,1722,1695,1368,1074,2038,2134,2317,1020,377,485,302,11212,2014,New York,Kings County,960,1000,1190,1550,1820,1304.0
11,23671,3785,2311,1619,1326,1412,1428,1317,1293,738,1999,1961,2169,791,683,592,247,11213,2014,New York,Kings County,960,1000,1190,1550,1820,1304.0
