,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,StateName,CountyName,rent0,rent1,rent2,rent3,rent4,Rent_Mean
12,31315,2836,2325,1777,1783,1734,1642,1707,1688,1076,2480,3160,3298,2207,1496,1274,832,11214,2014,New York,Kings County,990,1040,1230,1600,1890,1350.0
13,28984,1168,842,451,548,547,703,684,929,704,1813,2417,3845,2915,2395,3558,5465,11215,2014,New York,Kings County,1540,1610,1910,2480,2930,2094.0
14,23210,2698,1773,1261,1202,961,1403,1088,1131,855,2041,2089,2462,1724,700,1082,740,11216,2014,New York,Kings County,1010,1050,1250,1630,1920,1372.0
15,16691,1143,673,579,523,596,464,519,491,344,809,1195,2021,1560,1350,1611,2813,11217,2014,New York,Kings County,1550,1620,1920,2500,2940,2106.0
16,24829,2022,1606,1497,1464,1030,1190,1047,954,914,1408,2327,3511,2156,1144,1361,1198,11218,2014,New York,Kings County,1120,1170,1390,1810,2130,1524.0
17,26611,2456,2703,2235,2254,1892,1743,1588,1401,915,1724,2421,2040,1221,783,701,534,11219,2014,New York,Kings County,1060,1100,1310,1700,2010,1436.0
18,29622,2932,2544,2300,2374,2245,1549,1439,1592,1313,2025,2443,2729,1743,892,880,622,11220,2014,New York,Kings County,1070,1110,1320,1720,2020,1448.0
19,28794,4635,1973,2031,1694,1809,1106,1197,1242,1359,2078,2682,2858,1793,967,813,557,11221,2014,New York,Kings County,1030,1080,1280,1660,1960,1402.0
20,16662,1263,724,740,607,594,751,497,576,538,1289,1517,2691,1785,1174,1042,874,11222,2014,New York,Kings County,1200,1250,1480,1920,2270,1624.0
21,27283,3140,2002,1977,1723,1534,1650,1375,1394,981,1947,2498,2563,1784,921,881,913,11223,2014,New York,Kings County,990,1040,1230,1600,1890,1350.0
22,18153,3717,2077,1437,1371,788,610,763,943,537,1235,1263,1124,809,501,686,292,11224,2014,New York,Kings County,790,830,980,1270,1500,1074.0
23,22790,2165,1567,1620,1214,1435,1192,1153,1433,859,1873,2424,2557,1285,836,533,644,11225,2014,New York,Kings County,950,1000,1180,1530,1810,1294.0
24,35998,4077,2287,2424,1948,2036,2224,1917,2168,1348,3172,3900,3622,1983,1257,1086,549,11226,2014,New York,Kings County,1000,1050,1240,1610,1900,1360.0
25,15244,684,727,964,686,543,648,615,578,475,1380,1336,1822,1313,1211,1167,1095,11228,2014,New York,Kings County,1120,1170,1390,1810,2130,1524.0
26,30987,2639,2160,1557,2060,1383,1193,1551,1194,1165,2376,2956,3334,2639,1804,1490,1486,11229,2014,New York,Kings County,1010,1050,1250,1630,1920,1372.0
27,30228,3732,2474,2146,1725,1452,1712,1418,1213,950,1784,2736,3027,1810,1170,1370,1509,11230,2014,New York,Kings County,1070,1120,1330,1730,2040,1458.0
28,15275,1747,636,432,532,462,425,416,417,270,746,980,1620,1485,1068,1597,2442,11231,2014,New York,Kings County,1590,1660,1970,2560,3020,2160.0
29,8700,643,445,544,597,648,516,566,420,452,756,774,1029,582,306,221,201,11232,2014,New York,Kings County,1130,1180,1400,1820,2150,1536.0
30,26412,4521,2584,1996,1617,1292,1320,1263,1336,995,1781,2184,2050,1540,794,719,420,11233,2014,New York,Kings County,1000,1050,1240,1610,1900,1360.0
31,32314,1769,991,1293,1267,1214,1638,1299,1474,1049,2262,3492,4263,3429,2316,2763,1795,11234,2014,New York,Kings County,1180,1230,1460,1900,2240,1602.0
32,32104,5137,2621,1587,1706,1697,1629,1035,1087,797,1844,2601,3214,2652,1531,1413,1553,11235,2014,New York,Kings County,1030,1080,1280,1660,1960,1402.0
33,31920,2623,1231,1359,1121,1325,1479,1445,1625,1239,2484,3365,4731,2953,1773,2147,1020,11236,2014,New York,Kings County,1150,1200,1420,1850,2180,1560.0
34,22943,1568,1007,1137,995,515,815,967,777,805,1490,1925,3460,2181,1835,1833,1633,11238,2014,New York,Kings County,1220,1270,1510,1960,2310,1654.0
35,6355,1235,1015,355,402,321,197,288,440,472,339,668,336,146,55,28,58,11239,2014,New York,Kings County,1010,1050,1250,1630,1920,1372.0
