,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,state,CountyName,rent0,rent1,rent2,rent3,rent4,Rent_Mean
0,23254,1656,706,618,710,403,643,596,686,547,1303,1853,2929,1954,1456,2219,4975,11201,2011,36,Kings County,1530,1630,1840,2280,2520,1960.0
1,27145,2740,1244,1525,1486,1352,1158,1397,1453,1449,1876,2761,3418,2316,1410,994,566,11203,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
2,24979,1939,1920,1705,1564,1580,1373,1333,1223,1038,2025,2536,2655,1572,900,1043,573,11204,2011,36,Kings County,1070,1140,1290,1600,1770,1374.0
3,14033,2131,1017,874,866,659,614,488,570,324,889,1193,1255,1160,581,640,772,11205,2011,36,Kings County,1170,1250,1410,1750,1930,1502.0
4,27668,5551,2800,2612,1950,1551,1643,1079,1405,1172,1669,1675,1911,1170,753,478,249,11206,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
5,30553,5927,2575,1986,2052,1497,2044,1716,1343,1242,2043,2653,2583,1378,760,537,217,11207,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
6,28945,5522,1978,1881,1814,1384,1769,1605,1589,1046,2487,2448,2262,1312,791,598,459,11208,2011,36,Kings County,1090,1160,1310,1620,1800,1396.0
7,30920,2344,1402,1319,1570,1452,1085,1412,1511,1382,2573,2804,3796,2488,1552,2186,2044,11209,2011,36,Kings County,1150,1220,1380,1710,1890,1470.0
8,21806,1898,1106,846,1105,990,1254,922,1178,1039,1913,2103,2554,1750,1068,1246,834,11210,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
9,33228,4198,3076,2398,1686,1615,1353,1375,1522,1079,2256,2786,3657,2310,1463,1267,1187,11211,2011,36,Kings County,1240,1320,1490,1850,2040,1588.0
10,30024,6678,3026,2311,1908,2227,1770,1611,1118,1222,2124,2238,1805,945,401,465,175,11212,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
11,23257,4364,2028,1668,1239,1487,1060,1420,1125,1004,1665,1960,1903,980,604,516,234,11213,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
12,29828,2460,2556,2026,1927,2240,1946,1818,1666,1310,2364,2557,2835,1876,967,874,406,11214,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
13,28524,1349,808,806,701,421,950,480,885,938,2097,2614,3464,3114,2255,2974,4668,11215,2011,36,Kings County,1530,1630,1840,2280,2520,1960.0
14,22274,3253,1734,1255,1175,1273,1220,1175,1310,946,1869,2043,1944,1335,767,571,404,11216,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
15,16871,1405,775,580,692,659,597,439,544,443,1127,1210,1699,1497,1120,1531,2553,11217,2011,36,Kings County,1460,1560,1760,2180,2410,1874.0
16,25497,1924,1790,1819,1315,1174,1292,1171,1241,836,1880,2712,3090,1803,1193,1230,1027,11218,2011,36,Kings County,1120,1190,1350,1670,1850,1436.0
17,26541,2603,2560,2402,1900,1910,1953,1348,1477,997,1979,2031,2030,1371,664,739,577,11219,2011,36,Kings County,1050,1120,1270,1570,1740,1350.0
18,30643,3412,2601,2309,2349,2028,1709,1648,1607,1150,2470,2793,2562,1619,973,823,590,11220,2011,36,Kings County,1070,1140,1290,1600,1770,1374.0
