,trips,ZIP,year,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,State,CountyName,rent0,rent1,rent2,rent3,rent4
0,167,11372,2011,24068,2016,958,1437,1243,1467,1746,1330,1255,900,2016,2854,3278,1439,874,655,600,36,Queens County,1100,1180,1330,1650,1820
1,7,11004,2011,5131,149,221,163,130,252,271,165,109,199,391,400,777,570,614,476,244,36,Queens County,1130,1200,1360,1690,1870
2,0,11040,2011,13438,230,313,281,509,499,219,455,380,344,687,1172,1874,1526,1426,1822,1701,36,Queens County,1440,1530,1730,2140,2370
3,8,11426,2011,6018,163,89,181,141,225,181,141,172,106,551,851,1119,673,485,557,383,36,Queens County,1180,1260,1420,1760,1950
4,20,11365,2011,15106,972,713,712,886,665,812,765,530,638,1103,1461,2046,1580,786,876,561,36,Queens County,1210,1290,1460,1810,2000
5,144,11373,2011,31551,2190,1926,2024,2229,1938,1882,1734,1670,1404,2852,3657,3364,2000,1149,812,720,36,Queens County,1160,1240,1400,1730,1920
6,1,11001,2011,9059,244,161,156,331,232,177,397,230,247,456,765,1135,1086,916,1464,1062,36,Queens County,1300,1390,1570,1950,2150
7,189,11375,2011,32035,1990,906,1360,1276,1105,1001,1036,1288,1072,2338,3185,4180,3474,2258,3070,2496,36,Queens County,1290,1380,1560,1930,2140
8,14,11427,2011,8013,248,330,282,300,369,272,200,405,306,796,886,1113,1010,520,570,406,36,Queens County,1070,1140,1290,1600,1770
9,82,11374,2011,19350,1232,998,697,1066,944,1235,826,1067,971,1465,1865,2451,1602,1031,1088,812,36,Queens County,1200,1280,1450,1800,1990
10,7,11366,2011,4460,255,154,82,93,135,263,212,119,85,283,479,596,388,371,527,418,36,Queens County,1160,1240,1400,1730,1920
11,12,11423,2011,9732,444,408,643,327,581,547,318,581,409,814,1000,1034,940,694,469,523,36,Queens County,1100,1170,1320,1640,1810
12,0,11428,2011,5853,145,93,138,214,240,201,369,321,189,294,804,859,699,623,413,251,36,Queens County,1140,1210,1370,1700,1880
13,46,11432,2011,18380,1327,1035,1096,1026,1072,1040,878,1124,601,1625,1810,2049,1478,787,655,777,36,Queens County,1100,1170,1320,1640,1810
14,30,11379,2011,13588,739,662,631,708,706,575,516,623,468,834,1343,1743,1457,1076,865,642,36,Queens County,1200,1280,1450,1800,1990
15,13,11429,2011,7690,423,184,198,248,236,239,221,328,220,713,789,1281,896,832,606,276,36,Queens County,1180,1260,1420,1760,1950
16,81,11435,2011,17950,1007,1124,922,833,921,935,988,684,809,1852,1969,2499,1447,814,726,420,36,Queens County,1120,1190,1350,1670,1850
17,31,11415,2011,8276,541,319,445,333,309,318,459,438,458,726,1014,966,712,504,599,135,36,Queens County,1150,1230,1390,1720,1910
18,33,11418,2011,10968,598,431,498,403,406,747,446,561,401,1167,1229,1590,1097,573,500,321,36,Queens County,1150,1230,1390,1720,1910
19,10,11433,2011,9807,1690,669,539,552,382,381,501,661,398,804,745,924,584,372,386,219,36,Queens County,1150,1230,1390,1720,1910
20,19,11421,2011,12181,728,532,487,742,585,651,601,739,660,864,1321,1644,904,725,636,362,36,Queens County,1170,1250,1410,1750,1930
21,19,11419,2011,12503,654,534,595,611,778,736,668,585,625,880,1472,1850,853,658,627,377,36,Queens County,1210,1290,1460,1810,2000
22,34,11434,2011,19731,1076,978,849,902,1072,1063,937,1016,665,1719,2364,2927,1494,1152,1089,428,36,Queens County,1040,1110,1250,1550,1720
23,15,11416,2011,6680,373,193,253,399,226,400,400,371,405,699,862,909,469,259,243,219,36,Queens County,1250,1330,1500,1860,2060
24,60,11436,2011,5308,211,252,211,202,249,223,253,209,347,546,654,791,645,204,162,149,36,Queens County,1180,1260,1420,1760,1950
25,14,11357,2011,14900,348,640,615,699,585,709,605,704,307,851,1259,2059,1845,1313,1212,1149,36,Queens County,1430,1520,1720,2130,2360
26,13,11356,2011,7453,287,188,191,456,489,185,371,359,436,717,819,1090,734,358,438,335,36,Queens County,1370,1460,1650,2040,2260
27,12,11360,2011,8798,532,116,339,284,229,329,376,381,236,566,788,1334,1130,601,871,686,36,Queens County,1180,1260,1420,1760,1950
28,190,11105,2011,16319,1200,873,760,801,791,465,509,710,837,1654,1800,2227,1305,916,820,651,36,Queens County,1230,1310,1480,1830,2030
29,2,11363,2011,2608,60,33,52,86,78,199,61,71,61,101,212,370,234,255,319,416,36,Queens County,1180,1260,1420,1760,1950
30,54,11354,2011,19094,1830,1349,933,1121,1105,1128,587,840,797,1434,1749,2417,1610,911,780,503,36,Queens County,1230,1310,1480,1830,2030
31,299,11102,2011,13687,1407,601,734,884,913,722,495,707,713,1371,1182,1318,1034,708,507,391,36,Queens County,1240,1320,1490,1850,2040
32,102,11370,2011,8759,676,297,345,334,429,454,537,373,339,752,1067,1022,778,601,347,408,36,Queens County,1290,1380,1560,1930,2140
33,15,11361,2011,10535,443,342,458,497,362,354,509,361,350,747,954,1619,1134,794,1040,571,36,Queens County,1350,1440,1630,2020,2240
34,13,11358,2011,13585,776,562,500,648,637,645,422,510,343,990,1231,2220,1479,827,1022,773,36,Queens County,1290,1370,1550,1920,2130
35,7,11362,2011,6823,234,194,459,287,234,223,174,251,81,425,534,983,793,667,665,619,36,Queens County,1180,1260,1420,1760,1950
36,138,11369,2011,11043,625,479,579,691,516,618,500,533,498,818,1329,1622,961,566,409,299,36,Queens County,1300,1390,1570,1950,2150
37,316,11103,2011,16145,1115,828,724,826,821,701,789,926,824,1582,1527,2096,1267,816,695,608,36,Queens County,1230,1310,1480,1830,2030
38,450,11106,2011,16554,1967,985,859,1019,870,563,560,1051,645,1369,1753,1781,1277,783,778,294,36,Queens County,1130,1200,1360,1690,1870
39,102,11368,2011,27600,2030,1724,1839,1816,1515,1584,1287,1677,1341,2695,3250,3313,1548,701,870,410,36,Queens County,1210,1290,1460,1810,2000
40,417,11377,2011,31938,1935,1683,1600,1780,1802,2078,1975,1627,1616,2716,3669,4302,2155,1113,1164,723,36,Queens County,1150,1230,1390,1720,1910
41,61,11355,2011,28719,3124,1460,1940,1596,1737,1794,1490,1288,1286,2737,2588,3096,1779,1286,812,706,36,Queens County,1160,1240,1400,1730,1920
42,1077,11101,2011,9910,1306,732,481,740,601,513,392,431,382,672,802,914,772,352,517,303,36,Queens County,1120,1190,1350,1670,1850
43,13,11364,2011,13543,713,488,420,539,505,576,645,422,315,1101,1373,2160,1662,1000,931,693,36,Queens County,1360,1450,1640,2030,2250
44,1,11005,2011,1356,22,42,85,76,74,54,34,68,39,145,89,247,163,46,31,141,36,Queens County,1180,1260,1420,1760,1950
