,StateName,CountyName,rent0,rent1,rent2,rent3,rent4,ZIP,Rent_Mean,year
13751,New York,Kings County,1500,1640,1870,2360,2860,11201,2046.0,2012
13752,New York,Kings County,980,1070,1220,1540,1860,11203,1334.0,2012
13753,New York,Kings County,1050,1150,1310,1650,2000,11204,1432.0,2012
13754,New York,Kings County,1150,1260,1440,1820,2200,11205,1574.0,2012
13755,New York,Kings County,890,970,1110,1400,1690,11206,1212.0,2012
13756,New York,Kings County,990,1090,1240,1560,1890,11207,1354.0,2012
13757,New York,Kings County,1060,1160,1330,1680,2030,11208,1452.0,2012
13758,New York,Kings County,1120,1230,1400,1770,2140,11209,1532.0,2012
13759,New York,Kings County,980,1070,1220,1540,1860,11210,1334.0,2012
13760,New York,Kings County,1210,1320,1510,1900,2310,11211,1650.0,2012
13761,New York,Kings County,940,1030,1180,1490,1800,11212,1288.0,2012
13762,New York,Kings County,940,1030,1180,1490,1800,11213,1288.0,2012
13763,New York,Kings County,1000,1090,1250,1580,1910,11214,1366.0,2012
13764,New York,Kings County,1500,1640,1870,2360,2860,11215,2046.0,2012
13765,New York,Kings County,970,1060,1210,1530,1850,11216,1324.0,2012
13766,New York,Kings County,1430,1570,1790,2260,2730,11217,1956.0,2012
13767,New York,Kings County,1100,1200,1370,1730,2090,11218,1498.0,2012
13768,New York,Kings County,1030,1130,1290,1630,1970,11219,1410.0,2012
13769,New York,Kings County,1050,1150,1310,1650,2000,11220,1432.0,2012
13770,New York,Kings County,1010,1100,1260,1590,1920,11221,1376.0,2012
13771,New York,Kings County,1150,1260,1440,1820,2200,11222,1574.0,2012
13772,New York,Kings County,1010,1100,1260,1590,1920,11223,1376.0,2012
13773,New York,Kings County,760,830,950,1200,1450,11224,1038.0,2012
13774,New York,Kings County,940,1030,1180,1490,1800,11225,1288.0,2012
13775,New York,Kings County,980,1080,1230,1550,1880,11226,1344.0,2012
13776,New York,Kings County,1110,1220,1390,1750,2120,11228,1518.0,2012
13777,New York,Kings County,1010,1100,1260,1590,1920,11229,1376.0,2012
13778,New York,Kings County,1070,1170,1340,1690,2050,11230,1464.0,2012
13779,New York,Kings County,1600,1750,2000,2520,3050,11231,2184.0,2012
13780,New York,Kings County,1100,1200,1370,1730,2090,11232,1498.0,2012
13781,New York,Kings County,970,1060,1210,1530,1850,11233,1324.0,2012
13782,New York,Kings County,1170,1280,1460,1840,2230,11234,1596.0,2012
13783,New York,Kings County,990,1090,1240,1560,1890,11235,1354.0,2012
13784,New York,Kings County,1140,1250,1430,1800,2180,11236,1560.0,2012
13785,New York,Kings County,1000,1090,1250,1580,1910,11237,1366.0,2012
13786,New York,Kings County,1170,1280,1460,1840,2230,11238,1596.0,2012
13787,New York,Kings County,1000,1090,1250,1580,1910,11239,1366.0,2012
13788,New York,Kings County,1040,1140,1300,1640,1990,11243,1422.0,2012
13789,New York,Kings County,1040,1140,1300,1640,1990,11249,1422.0,2012
13790,New York,Kings County,1100,1210,1380,1740,2110,11385,1508.0,2012
13791,New York,Kings County,1280,1400,1600,2020,2440,11414,1748.0,2012
13792,New York,Kings County,1220,1340,1530,1930,2340,11416,1672.0,2012
13793,New York,Kings County,1150,1260,1440,1820,2200,11417,1574.0,2012
13794,New York,Kings County,1150,1260,1440,1820,2200,11421,1574.0,2012
13795,New York,Kings County,1040,1140,1300,1640,1990,11425,1422.0,2012
