,bath,bed,furnished,price,size,street,where
78,1 bath,3 beds,0,"$2,098",,1250 Herkimer #2,Bedford-Stuyvesant
79,1 bath,1 bed,0,"$1,999",800 ft²,1138 Sterling Place #2,
80,1 bath,1 bed,0,"$2,600",,605 Carroll Street 1STFLOOR,Park Slope
81,1 bath,1.5 beds,0,"$2,349",,120A Bainbridge Street #3,
82,1 bath,1 bed,0,"$1,699",,2510 Ocean Parkway #7K,
83,1 bath,2 beds,0,"$2,700",800 ft²,128 Greene Avenue #4A,
84,,1 bed,1,"$2,400",640 ft²,228 Bushwick Avenue #6A,Williamsburg
85,1 bath,,0,"$2,311",510 ft²,66 Rockwell Place #27D,Fort Greene
86,2 baths,3 beds,0,"$2,999",,397 Herkimer #1,Bedford-Stuyvesant
87,1 bath,1 bed,0,"$1,650",,873 Saint Johns Place #8,
88,1 bath,2 beds,0,"$1,950",,786 Jefferson Avenue #2,
89,1 bath,,0,"$1,395",,1429 Shore Parkway #2F,
90,1 bath,2 beds,0,"$2,200",,542 Lafayette Avenue #1,Bedford-Stuyvesant
91,1 bath,2 beds,0,"$2,800",900 ft²,128 Greene Avenue #3,
92,1 bath,2 beds,0,"$2,650",,467 Vanderbilt Avenue #5A,
93,1 bath,2 beds,0,"$2,575",,467 Vanderbilt Avenue #3B,
94,2 baths,4 beds,0,"$4,056","1,800 ft²",1016 Decatur Street #B,Bushwick
95,1 bath,1 bed,0,"$2,250",,92 Gates Avenue #2F,
96,2 baths,3 beds,0,"$2,775",,970 Greene Avenue #3B,
97,1 bath,3 beds,0,"$1,850",,1953 West 12th Street #2,
98,1.5 baths,4 beds,0,"$3,900",,212 Wyckoff Avenue #1L,Bushwick
99,1 bath,1 bed,0,"$3,095",578 ft²,180 Montague Street #11D,Brooklyn Heights
100,1 bath,2 beds,0,"$2,400",,480 Third Avenue #4,
101,1 bath,1 bed,0,"$1,550",700 ft²,3115 Avenue I #5F,
102,2 baths,2 beds,0,"$3,475",,505 Saint Marks Avenue #6Q,
103,1 bath,2 beds,0,"$1,999",775 ft²,162 Wyckoff Avenue #3R,Bushwick
104,1.5 baths,3 beds,0,"$4,245","1,500 ft²",24 Kosciuszko Street #1B,Bedford-Stuyvesant
105,1 bath,3 beds,0,"$2,500","1,100 ft²",752 Coney Island Avenue #3,
106,1 bath,2 beds,0,"$3,100",,230 Hoyt Street #2,
107,1 bath,1 bed,0,"$2,500",570 ft²,664 Jefferson Avenue #3A,
108,1 bath,,0,"$2,150",,257 Columbia Street #2,
109,1 bath,,0,"$2,065",,100 8th Avenue #4A,Park Slope
110,2 baths,3 beds,0,"$2,890","1,200 ft²",522 Lefferts Avenue #3I,
111,1 bath,,0,"$1,300",,6702 Ridge Boulevard #5D,Bay Ridge
112,1.5 baths,1 bed,0,"$3,300",,22 Caton Place #1B,
113,1 bath,1 bed,0,"$3,392",,10 City Point #38J,
114,1 bath,,0,"$1,800",500 ft²,745 Lincoln Place #1H,
115,2 baths,3 beds,0,"$2,500","1,100 ft²",260 Lenox Road #1A,
116,1 bath,,0,"$1,425",600 ft²,260 Lenox Road #5D,
117,1 bath,2 beds,0,"$1,925",750 ft²,401 Schenectady Avenue #3B,
118,1 bath,1 bed,0,"$3,500",800 ft²,50 Bridge Street LOFT-316,DUMBO
119,1 bath,3 beds,0,"$2,399",,164 Herkimer Street #2,Bedford-Stuyvesant
120,1 bath,1 bed,0,"$2,199",,1016 Union Street #4H,
