,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,State,CountyName,rent0,rent1,rent2,rent3,rent4
44,13500,536,528,700,765,562,852,568,538,536,998,1459,2112,1210,787,762,587,11420,2011,36,Queens County,1250,1330,1510,1870,2070
45,12181,728,532,487,742,585,651,601,739,660,864,1321,1644,904,725,636,362,11421,2011,36,Queens County,1170,1250,1410,1750,1930
46,9700,293,210,158,175,337,294,439,458,323,548,1020,1724,1529,806,808,578,11422,2011,36,Queens County,1460,1560,1760,2180,2410
47,9732,444,408,643,327,581,547,318,581,409,814,1000,1034,940,694,469,523,11423,2011,36,Queens County,1100,1170,1320,1640,1810
48,6018,163,89,181,141,225,181,141,172,106,551,851,1119,673,485,557,383,11426,2011,36,Queens County,1180,1260,1420,1760,1950
49,8013,248,330,282,300,369,272,200,405,306,796,886,1113,1010,520,570,406,11427,2011,36,Queens County,1070,1140,1290,1600,1770
50,5853,145,93,138,214,240,201,369,321,189,294,804,859,699,623,413,251,11428,2011,36,Queens County,1140,1210,1370,1700,1880
51,7690,423,184,198,248,236,239,221,328,220,713,789,1281,896,832,606,276,11429,2011,36,Queens County,1180,1260,1420,1760,1950
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11430,2011,36,Queens County,1180,1260,1420,1760,1950
53,18380,1327,1035,1096,1026,1072,1040,878,1124,601,1625,1810,2049,1478,787,655,777,11432,2011,36,Queens County,1100,1170,1320,1640,1810
54,9807,1690,669,539,552,382,381,501,661,398,804,745,924,584,372,386,219,11433,2011,36,Queens County,1150,1230,1390,1720,1910
55,19731,1076,978,849,902,1072,1063,937,1016,665,1719,2364,2927,1494,1152,1089,428,11434,2011,36,Queens County,1040,1110,1250,1550,1720
56,17950,1007,1124,922,833,921,935,988,684,809,1852,1969,2499,1447,814,726,420,11435,2011,36,Queens County,1120,1190,1350,1670,1850
57,5308,211,252,211,202,249,223,253,209,347,546,654,791,645,204,162,149,11436,2011,36,Queens County,1180,1260,1420,1760,1950
58,19112,3679,1540,1299,880,787,934,747,833,529,1348,1615,1772,1148,709,699,593,11691,2011,36,Queens County,1040,1110,1250,1550,1720
59,5830,852,465,227,307,478,457,246,296,143,353,646,493,408,193,102,164,11692,2011,36,Queens County,1040,1110,1250,1550,1720
60,4583,564,209,141,206,210,148,173,294,338,287,450,677,474,230,62,120,11693,2011,36,Queens County,1040,1110,1250,1550,1720
61,8135,396,343,298,357,405,436,361,241,155,342,823,946,1009,640,689,694,11694,2011,36,Queens County,1050,1120,1270,1570,1740
62,1794,50,44,109,67,47,60,36,55,34,71,127,368,204,199,113,210,11697,2011,36,Queens County,1180,1260,1420,1760,1950
63,9138,197,92,219,279,207,177,427,288,279,481,772,1052,1212,849,1388,1219,11001,2012,36,Queens County,1280,1400,1600,2020,2440
64,5159,214,231,145,191,255,293,157,218,109,399,295,622,578,547,628,277,11004,2012,36,Queens County,1100,1210,1380,1740,2110
65,1495,21,63,92,59,93,38,39,67,51,97,170,242,209,55,39,160,11005,2012,36,Queens County,1560,1710,1950,2460,2980
66,13211,203,262,208,473,465,293,396,375,330,755,1058,1800,1651,1499,1752,1691,11040,2012,36,Queens County,1270,1390,1590,2000,2430
67,10542,1313,805,571,742,679,395,383,486,352,802,694,1184,853,341,597,345,11101,2012,36,Queens County,1100,1200,1370,1730,2090
68,13876,1291,651,839,784,772,900,554,724,603,1349,1145,1531,902,719,645,467,11102,2012,36,Queens County,1210,1320,1510,1900,2310
69,16209,1075,749,758,836,781,660,739,813,769,1478,1937,2103,1516,692,810,493,11103,2012,36,Queens County,1200,1310,1500,1890,2290
70,11718,823,596,743,625,643,564,461,478,406,1324,1217,1487,1007,679,322,343,11104,2012,36,Queens County,1140,1240,1420,1790,2170
71,16297,1085,812,766,782,796,498,524,770,758,1754,1647,2108,1432,1088,952,525,11105,2012,36,Queens County,1210,1320,1510,1900,2310
72,16739,1960,994,887,891,856,660,656,908,633,1294,1625,2038,1385,814,660,478,11106,2012,36,Queens County,1100,1210,1380,1740,2110
73,1711,116,24,28,22,22,36,0,39,18,34,80,251,161,198,162,520,11109,2012,36,Queens County,1150,1260,1440,1820,2200
