	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
968	0.0	0.0	2014-09-12T19:46:00.000	2014-09-12T19:24:00.000	0.0	0.0	0.0	3.68
969	40.754798	-73.985451	2014-06-14T14:37:23.000	2014-06-14T14:26:43.000	40.761459	-73.999967	1.7	0.9
970	40.75589	-73.978927	2014-06-19T09:40:48.000	2014-06-19T09:30:20.000	40.756185	-73.990338	0.0	0.8
971	40.795838	-73.962907	2014-02-16T02:49:39.000	2014-02-16T02:44:45.000	40.805003	-73.962513	0.0	0.8
972	40.727577	-73.857896	2014-06-13T16:44:56.000	2014-06-13T16:13:35.000	40.64509	-73.77672	0.0	9.7
973	40.745856	-74.003857	2014-11-22T15:38:51.000	2014-11-22T15:07:18.000	40.769146	-73.862846	5.0	10.4
974	40.75105	-73.99042	2014-08-27T18:11:00.000	2014-08-27T18:10:00.000	40.758187	-73.937787	0.0	0.35
975	40.779352	-73.981112	2014-03-27T23:03:23.000	2014-03-27T22:55:16.000	40.741136	-74.005507	2.87	3.1
976	40.761102	-73.981825	2014-03-28T07:18:00.000	2014-03-28T07:05:00.000	40.730272	-74.000302	0.0	2.35
977	40.766282	-73.954025	2014-06-10T12:49:00.000	2014-06-10T12:21:00.000	40.74524	-73.99152	4.75	3.29
978	40.757222	-73.972377	2014-12-04T17:44:47.000	2014-12-04T17:04:50.000	40.769902	-73.863552	0.0	11.4
979	40.748819	-73.984266	2014-04-25T12:47:51.000	2014-04-25T12:34:45.000	40.745144	-73.97626	1.9	0.7
980	40.781068	-73.958685	2014-02-19T23:10:52.000	2014-02-19T23:07:41.000	40.765117	-73.970392	1.0	1.2
981	40.790989	-73.974497	2014-02-02T22:17:24.000	2014-02-02T22:14:18.000	40.801547	-73.967974	0.0	0.8
982	40.76521	-73.987677	2014-05-01T20:44:26.000	2014-05-01T20:32:03.000	40.724946	-74.007705	2.6	3.2
983	40.762712	-73.975841	2014-10-25T18:58:49.000	2014-10-25T18:51:53.000	40.762372	-73.983253	1.5	1.4
984	40.72457	-73.989425	2014-05-23T01:04:09.000	2014-05-23T00:57:07.000	40.734896	-74.000862	0.0	1.1
985	40.76556	-73.958922	2014-03-13T22:02:00.000	2014-03-13T21:55:00.000	40.760802	-73.975585	0.0	1.53
986	40.739917	-73.98561	2014-01-14T07:44:00.000	2014-01-14T07:40:00.000	40.751642	-73.975262	0.6	1.05
987	40.743515	-73.97681	2014-03-30T18:48:00.000	2014-03-30T18:35:00.000	40.708882	-74.017112	0.0	5.45
988	40.71417	-73.997405	2014-01-04T22:17:00.000	2014-01-04T22:09:00.000	40.727415	-73.99385	1.5	1.24
989	40.706667	-73.911705	2014-06-03T00:15:00.000	2014-06-02T23:48:00.000	40.74543	-73.991295	5.1	7.39
990	40.712933	-73.957352	2014-03-12T17:21:00.000	2014-03-12T16:59:00.000	40.743487	-73.983708	3.9	5.03
991	40.755422	-73.98342	2014-04-03T08:09:24.000	2014-04-03T07:59:35.000	40.727	-73.999745	0.0	2.3
992	40.738022	-73.981313	2014-01-01T03:49:00.000	2014-01-01T03:47:00.000	40.73846	-73.985565	0.0	0.51
993	40.737136	-73.988618	2014-01-07T07:47:24.000	2014-01-07T07:39:43.000	40.733032	-74.006402	1.0	1.6
994	40.748012	-73.973564	2014-07-02T17:33:31.000	2014-07-02T17:25:38.000	40.752287	-73.970525	0.0	0.3
995	40.756213	-73.997069	2014-02-17T19:10:55.000	2014-02-17T18:18:15.000	40.644651	-73.781977	0.0	19.6
996	40.791872	-73.965125	2014-07-03T16:33:00.000	2014-07-03T16:28:00.000	40.788757	-73.976148	1.3	0.87
997	40.757955	-73.981537	2014-09-02T10:36:36.000	2014-09-02T10:28:52.000	40.74483	-73.99126	1.4	0.9
998	40.746824	-73.988489	2014-10-30T14:39:57.000	2014-10-30T14:16:23.000	40.730604	-73.991548	3.0	1.5
999	40.750503	-73.994677	2014-07-26T01:24:27.000	2014-07-26T01:23:06.000	40.74418	-73.999248	0.9	0.4
