	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
0	40.724422	-73.994383	2011-06-21T22:14:00.000	2011-06-21T22:03:00.000	40.707625	-74.001553	0.0	1.49
8	40.770197	-73.991177	2011-03-19T14:17:00.000	2011-03-19T13:55:00.000	40.704272	-74.009285	3.46	5.77
11	40.716759	-74.008172	2011-09-03T19:59:32.000	2011-09-03T19:47:57.000	40.729957	-73.992899	0.0	1.3
14	40.757293	-73.982571	2011-04-29T22:08:26.000	2011-04-29T21:41:47.000	40.731801	-73.989607	0.0	3.1
17	40.74632	-73.977577	2011-05-26T06:24:00.000	2011-05-26T06:20:00.000	40.72719	-73.976945	0.0	1.69
21	40.789431	-73.977406	2011-06-16T00:29:45.000	2011-06-16T00:12:11.000	40.726829	-73.983032	3.34	5.8
24	40.716842	-73.994488	2011-09-09T16:25:00.000	2011-09-09T16:04:00.000	40.722495	-74.008108	3.0	4.65
28	40.740096	-74.005503	2011-06-04T00:00:39.000	2011-06-03T23:43:52.000	40.718861	-73.988894	2.87	2.1
32	40.693542	-73.982587	2011-11-24T00:09:16.000	2011-11-24T00:02:55.000	40.71972	-74.002439	0.0	2.1
33	40.740963	-73.992622	2011-07-17T13:21:00.000	2011-07-17T13:15:00.000	40.732033	-73.987987	0.0	1.21
41	40.721527	-73.984078	2011-10-07T13:09:00.000	2011-10-07T13:03:00.000	40.714823	-73.992003	0.0	0.8
43	40.747137	-73.984741	2011-01-20T05:46:18.000	2011-01-20T05:33:20.000	40.717101	-74.014608	2.0	3.3
59	40.7237	-73.951	2011-09-13T22:05:48.000	2011-09-13T22:01:33.000	40.7114	-73.9613	0.0	1.1
73	40.720045	-74.009257	2011-07-12T08:48:00.000	2011-07-12T08:44:00.000	40.721082	-74.005172	0.0	0.46
75	40.717899	-73.985109	2011-06-18T22:46:34.000	2011-06-18T22:38:13.000	40.729597	-73.980927	0.0	1.2
89	40.742575	-73.98434	2011-08-23T18:08:00.000	2011-08-23T18:05:00.000	40.73299	-73.987582	1.0	0.08
95	40.728756	-73.987998	2011-06-24T18:58:24.000	2011-06-24T18:56:31.000	40.733385	-73.987275	0.0	0.4
97	40.755735	-73.981728	2011-02-08T22:55:00.000	2011-02-08T22:42:00.000	40.716178	-74.00873	0.0	3.39
100	40.73502	-73.981577	2011-05-25T20:02:00.000	2011-05-25T19:56:00.000	40.729842	-73.98695	0.0	0.7
102	40.730375	-73.989928	2011-06-21T00:22:56.000	2011-06-21T00:22:50.000	40.730375	-73.989928	2.0	0.0
104	40.687471	-73.995729	2011-10-18T13:53:31.000	2011-10-18T13:40:59.000	40.714815	-74.00959	0.0	2.7
115	40.75257	-73.993251	2011-05-28T01:23:33.000	2011-05-28T01:09:50.000	40.721695	-73.98893	2.0	2.9
117	40.728582	-73.955887	2011-11-25T03:14:23.000	2011-11-25T03:06:27.000	40.71415	-73.956199	2.07	1.8
122	40.681097	-73.996437	2011-11-16T21:20:00.000	2011-11-16T21:00:00.000	40.72714	-73.985827	0.0	4.1
123	40.78276	-73.951267	2011-11-13T03:21:00.000	2011-11-13T03:04:00.000	40.719662	-73.998602	0.0	5.21
127	40.719239	-74.00147	2011-03-05T14:52:38.000	2011-03-05T14:41:54.000	40.717995	-73.985675	0.0	1.2
133	40.757399	-73.990036	2011-05-17T04:24:39.000	2011-05-17T04:14:56.000	40.726893	-73.989014	0.0	2.8
135	40.740088	-73.98202	2011-11-20T00:07:00.000	2011-11-20T00:00:00.000	40.731188	-73.982645	1.0	0.79
137	40.748476	-73.97602	2011-09-24T15:56:12.000	2011-09-24T15:39:18.000	40.721217	-73.989303	1.0	2.4
150	40.720962	-74.000901	2011-03-09T12:21:24.000	2011-03-09T12:11:02.000	40.728966	-73.987489	2.0	1.1
157	40.7238	-73.9762	2011-11-18T15:32:25.000	2011-11-18T15:24:53.000	40.7302	-73.9911	0.0	0.9
160	40.711761	-73.942404	2011-07-03T02:54:51.000	2011-07-03T02:48:34.000	40.719003	-73.988096	0.0	2.5
164	40.728807	-73.987503	2011-06-25T20:15:00.000	2011-06-25T20:06:00.000	40.728807	-73.987503	1.0	1.14
169	40.730415	-73.989242	2011-06-07T22:08:00.000	2011-06-07T21:59:00.000	40.707498	-74.003658	0.0	1.82
171	40.715162	-73.993616	2011-06-15T23:55:47.000	2011-06-15T23:51:12.000	40.708114	-74.003407	0.0	0.8
172	40.774339	-73.97974	2011-05-08T01:22:56.000	2011-05-08T00:59:39.000	40.732023	-73.985257	3.42	5.1
178	40.725557	-73.98241	2011-07-21T22:06:25.000	2011-07-21T22:00:33.000	40.734922	-73.983138	0.0	1.0
185	40.739857	-73.98152	2011-07-16T13:53:00.000	2011-07-16T13:47:00.000	40.727147	-73.985585	1.0	0.6
199	40.760389	-73.991014	2011-03-10T05:01:51.000	2011-03-10T04:52:41.000	40.732898	-73.98615	2.0	2.6
204	40.7478	-73.987	2011-10-29T23:10:51.000	2011-10-29T22:56:26.000	40.7294	-73.9893	1.08	2.2
211	40.691618	-73.925815	2011-06-09T01:12:00.000	2011-06-09T00:53:00.000	40.725383	-73.989393	3.65	4.49
220	40.756005	-73.973225	2011-10-22T00:34:00.000	2011-10-22T00:16:00.000	40.715	-74.008217	0.0	4.22
228	40.719932	-74.008138	2011-05-05T17:56:54.000	2011-05-05T17:52:43.000	40.726249	-73.998137	1.6	1.1
238	40.755922	-73.964698	2011-05-25T22:14:00.000	2011-05-25T22:00:00.000	40.70498	-74.00963	3.0	5.52
242	40.717482	-73.996153	2011-05-17T17:22:00.000	2011-05-17T17:18:00.000	40.725993	-73.992	0.0	0.67
251	40.743898	-73.983443	2011-05-03T17:31:32.000	2011-05-03T17:20:42.000	40.721164	-73.982347	0.0	2.2
252	40.725451	-73.980683	2011-01-18T22:19:37.000	2011-01-18T22:10:43.000	40.724578	-73.998048	0.0	1.3
253	40.72286	-73.98593	2011-03-09T00:37:00.000	2011-03-09T00:33:00.000	40.729178	-73.984395	2.0	0.54
256	40.721057	-73.99221	2011-09-23T01:14:00.000	2011-09-23T01:07:00.000	40.720547	-73.987122	1.0	0.65
262	40.731082	-73.988022	2011-11-02T19:35:00.000	2011-11-02T19:29:00.000	40.722617	-73.986837	2.0	0.8
266	40.727526	-73.998313	2011-07-29T16:54:21.000	2011-07-29T16:44:00.000	40.720756	-73.984155	1.25	1.2
