	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
10	40.750836	-73.980468	2012-06-18T20:12:14.000	2012-06-18T20:05:26.000	40.729582	-73.978214	1.0	2.0
14	40.728973	-74.007194	2012-09-20T08:08:37.000	2012-09-20T07:58:39.000	40.707459	-74.012223	1.9	1.9
28	40.758139	-73.992478	2012-06-09T03:20:09.000	2012-06-09T03:07:34.000	40.72264	-73.987285	2.38	3.4
32	40.733611	-74.007329	2012-09-12T21:15:26.000	2012-09-12T21:05:45.000	40.715827	-74.010995	1.0	1.8
37	40.745695	-73.999349	2012-04-23T21:09:11.000	2012-04-23T21:00:07.000	40.73221	-73.988116	1.66	1.5
42	40.720768	-73.962374	2012-05-04T17:59:16.000	2012-05-04T17:46:39.000	40.719294	-73.994297	2.4	3.0
47	40.749357	-73.992185	2012-04-11T22:48:56.000	2012-04-11T22:36:04.000	40.720987	-73.984077	2.0	2.7
50	40.705391	-73.948832	2012-07-11T22:15:57.000	2012-07-11T22:00:47.000	40.726612	-73.983234	0.0	3.0
56	40.727878	-74.001585	2012-01-14T01:13:00.000	2012-01-14T01:06:00.000	40.720358	-73.989672	1.0	0.97
68	40.723927	-73.992385	2012-02-08T22:03:59.000	2012-02-08T21:59:04.000	40.725292	-74.003274	1.18	0.7
70	40.728602	-74.005952	2012-03-23T09:12:00.000	2012-03-23T09:04:00.000	40.720408	-73.989423	0.0	1.21
71	40.75332	-73.980572	2012-11-23T07:07:00.000	2012-11-23T07:00:00.000	40.734607	-73.979027	1.9	2.38
95	40.729725	-73.986452	2012-03-04T18:03:00.000	2012-03-04T17:54:00.000	40.723498	-73.996092	1.0	0.84
100	40.665944	-73.98317	2012-01-24T00:54:04.000	2012-01-24T00:35:15.000	40.714132	-73.951599	0.0	5.3
108	40.751959	-73.976814	2012-05-09T22:08:31.000	2012-05-09T21:53:28.000	40.714799	-73.996951	0.0	2.9
113	40.737265	-73.996777	2012-08-15T19:00:00.000	2012-08-15T18:37:00.000	40.717268	-73.997518	0.0	4.23
129	40.731997	-73.9821	2012-04-16T15:46:00.000	2012-04-16T15:40:00.000	40.721402	-73.986782	0.0	1.07
133	40.784567	-73.94911	2012-06-10T03:34:36.000	2012-06-10T03:18:31.000	40.718607	-74.000637	4.14	8.4
135	40.740048	-73.99192	2012-02-16T16:36:13.000	2012-02-16T16:26:35.000	40.716894	-74.008151	1.5	2.1
137	40.750355	-73.994419	2012-04-16T11:33:48.000	2012-04-16T11:19:13.000	40.735134	-73.979732	1.88	1.6
141	40.721037	-74.010409	2012-11-26T09:17:46.000	2012-11-26T09:15:38.000	40.717926	-74.015452	0.0	0.6
149	40.681643	-73.996228	2012-05-04T15:00:00.000	2012-05-04T14:42:00.000	40.723415	-73.991007	0.0	4.09
175	40.743292	-73.9862	2012-11-06T10:18:00.000	2012-11-06T10:06:00.000	40.72996	-73.983612	0.0	1.29
178	40.750148	-73.994864	2012-05-31T13:06:00.000	2012-05-31T12:46:47.000	40.702356	-74.011277	2.92	4.2
